sport,gender,number_athletes
Football,Men's,2873
Baseball,Men's,1133
Soccer,Women's,683
Softball,Women's,650
Basketball,Men's,621
Basketball,Women's,595
Volleyball,Women's,504
Track & Field,Men's,426
Lacrosse,Women's,366
Soccer,Men's,301
Lacrosse,Men's,237
Gymnastics,Women's,185
Swim and Dive,Men's,132
Wrestling,Men's,122
Track & Field,Women's,109
Field Hockey,Women's,101
Rowing,Women's,100
Tennis,Women's,84
Ice Hockey,Men's,75
Golf,Men's,72
Tennis,Men's,61
Swim and Dive,Women's,59
Ice Hockey,Women's,58
Beach Volleyball,Women's,56
Dance,Women's,53
Golf,Women's,47
Cheerleading,Women's,44
Water Polo,Women's,30
Volleyball,Men's,29
Fencing,Men's,28
Cheerleading,Men's,26
Cross Country,Men's,25
Fencing,Women's,24
Gymnastics,Men's,17
Equestrian,Women's,16
Cross Country,Women's,12
Skiing,Women's,10
Wrestling,Women's,10
Rifle,Women's,9
Water Polo,Men's,8
Bowling,Men's,7
Crew,Men's,7
Skiing,Men's,7
Triathlon,Men's,5
Bowling,Women's,3
Triathlon,Women's,3
Crew,Women's,2
Squash,Women's,2
Rifle,Men's,1
